相对强度 运行#1,位置 (米 m) 运行#1,相对强度 运行#2,位置 (米 m) 运行#2,相对强度 运行#3,位置 (米 m) 运行#3,相对强度 运行#4,位置 (米 m) 运行#4
0.053909,0.0000,0.077911,0.0000,0.029602,0.0000,0.030716,0.0000
0.054718,0.0000,0.075165,0.0000,0.028885,0.0000,0.029800,0.0000
0.053802,0.0000,0.076080,0.0000,0.030716,0.0000,0.031021,0.0000
0.052780,0.0000,0.076996,0.0000,0.030304,0.0000,0.031631,0.0000
0.055832,0.0000,0.076599,0.0000,0.029495,0.0000,0.031021,0.0000
0.053406,0.0000,0.076080,0.0000,0.028473,0.0000,0.030518,0.0000
0.053604,0.0000,0.076492,0.0000,0.029388,0.0000,0.031830,0.0000
0.053909,0.0000,0.077713,0.0000,0.030106,0.0000,0.031128,0.0000
0.056152,0.0000,0.077606,0.0000,0.029388,0.0000,0.030411,0.0000
0.054214,0.0000,0.075470,0.0000,0.028168,0.0000,0.030106,0.0000
0.052277,0.0000,0.076996,0.0000,0.029602,0.0000,0.031631,0.0000
0.054718,0.0000,0.076187,0.0000,0.030518,0.0000,0.031631,0.0000
0.054932,0.0000,0.076691,0.0000,0.028381,0.0000,0.030411,0.0000
0.054413,0.0000,0.075882,0.0000,0.027863,0.0000,0.029694,0.0000
0.053299,0.0000,0.076797,0.0000,0.028671,0.0000,0.030609,0.0000
0.054306,0.0000,0.077713,0.0000,0.029694,0.0000,0.032135,0.0000
0.055023,0.0000,0.077713,0.0000,0.029297,0.0000,0.030411,0.0000
0.054520,0.0000,0.074768,0.0000,0.028778,0.0000,0.029602,0.0000
0.052887,0.0000,0.076080,0.0000,0.030304,0.0000,0.031433,0.0000
0.053802,0.0000,0.076385,0.0000,0.030411,0.0000,0.031830,0.0000
0.055435,0.0000,0.077408,0.0000,0.028778,0.0000,0.029495,0.0000
0.053192,0.0000,0.074966,0.0000,0.028275,0.0000,0.030304,0.0000
0.053497,0.0000,0.076797,0.0000,0.028381,0.0000,0.031219,0.0000
0.054016,0.0000,0.076797,0.0000,0.029495,0.0000,0.031738,0.0000
0.054520,0.0000,0.077515,0.0000,0.029297,0.0000,0.030609,0.0000
0.054306,0.0000,0.076080,0.0000,0.028168,0.0000,0.029907,0.0000
0.052277,0.0000,0.076385,0.0000,0.029694,0.0000,0.032043,0.0000
0.054306,0.0000,0.076996,0.0000,0.029694,0.0000,0.032242,0.0000
0.055328,0.0000,0.077301,0.0000,0.028580,0.0000,0.030411,0.0000
0.053711,0.0000,0.075775,0.0000,0.028168,0.0000,0.029190,0.0000
0.053192,0.0000,0.077713,0.0000,0.028275,0.0000,0.030823,0.0000
0.054306,0.0000,0.077713,0.0000,0.029907,0.0000,0.031738,0.0000
0.055328,0.0000,0.077209,0.0000,0.028381,0.0000,0.029907,0.0000
0.054520,0.0000,0.075165,-1.9725E-5,0.027969,0.0000,0.029694,0.0000
0.052689,0.0000,0.076599,-1.9725E-5,0.029190,0.0000,0.031021,0.0000
0.053802,0.0000,0.076691,-1.9725E-5,0.030518,0.0000,0.031937,0.0000
0.054825,0.0000,0.077103,-1.9725E-5,0.028885,0.0000,0.031128,0.0000
0.053192,0.0000,0.075684,-1.9725E-5,0.027466,0.0000,0.030106,0.0000
0.053711,0.0000,0.075272,-1.9725E-5,0.029602,1.9725E-5,0.030914,0.0000
0.053802,0.0000,0.077408,-1.9725E-5,0.029602,1.9725E-5,0.031738,0.0000
0.054520,0.0000,0.077408,-1.9725E-5,0.028473,1.9725E-5,0.030411,0.0000
0.052994,0.0000,0.076294,-1.9725E-5,0.028381,1.9725E-5,0.029800,0.0000
0.052490,0.0000,0.076294,-1.9725E-5,0.028992,1.9725E-5,0.031128,0.0000
0.054016,0.0000,0.077911,-1.9725E-5,0.029602,1.9725E-5,0.031631,0.0000
0.054932,0.0000,0.076797,-1.9725E-5,0.029388,1.9725E-5,0.030823,0.0000
0.054520,0.0000,0.075378,-1.9725E-5,0.028275,1.9725E-5,0.029800,0.0000
0.052887,0.0000,0.076294,-3.9450E-5,0.029694,1.9725E-5,0.031021,0.0000
0.054016,0.0000,0.077606,-3.9450E-5,0.030106,1.9725E-5,0.032242,0.0000
0.054718,0.0000,0.078430,-5.9175E-5,0.029602,1.9725E-5,0.031128,0.0000
0.054016,0.0000,0.076996,-5.9175E-5,0.027863,1.9725E-5,0.029800,0.0000
0.053802,0.0000,0.076797,-7.8900E-5,0.029999,1.9725E-5,0.031631,0.0000
0.053604,0.0000,0.077820,-9.8625E-5,0.029297,1.9725E-5,0.031631,0.0000
0.054718,0.0000,0.077209,-1.1835E-4,0.029388,1.9725E-5,0.031433,0.0000
0.054520,0.0000,0.076996,-1.1835E-4,0.027466,1.9725E-5,0.030106,0.0000
0.053711,0.0000,0.077408,-1.3808E-4,0.028473,1.9725E-5,0.031021,0.0000
0.053101,0.0000,0.078217,-1.3808E-4,0.029694,1.9725E-5,0.031738,0.0000
0.055542,0.0000,0.078430,-1.3808E-4,0.029495,1.9725E-5,0.030914,0.0000
0.054306,0.0000,0.076797,-1.5780E-4,0.027664,1.9725E-5,0.029800,0.0000
0.053802,0.0000,0.076492,-1.5780E-4,0.029297,1.9725E-5,0.030823,0.0000
0.054108,0.0000,0.077408,-1.5780E-4,0.030609,1.9725E-5,0.031937,0.0000
0.055634,0.0000,0.078217,-1.7753E-4,0.029495,1.9725E-5,0.030609,0.0000
0.054306,0.0000,0.077820,-1.7753E-4,0.027359,1.9725E-5,0.029190,0.0000
0.052887,0.0000,0.077301,-1.9725E-4,0.029907,1.9725E-5,0.030411,0.0000
0.054108,0.0000,0.077515,-1.9725E-4,0.030106,1.9725E-5,0.031631,0.0000
0.055435,0.0000,0.078522,-1.9725E-4,0.029495,1.9725E-5,0.029800,0.0000
0.054413,0.0000,0.075165,-1.9725E-4,0.027969,1.9725E-5,0.029495,0.0000
0.053101,0.0000,0.074966,-1.9725E-4,0.029190,1.9725E-5,0.030518,0.0000
0.054306,0.0000,0.076492,-1.9725E-4,0.029694,1.9725E-5,0.031128,0.0000
0.054626,0.0000,0.075684,-1.9725E-4,0.028992,1.9725E-5,0.030518,0.0000
0.053802,0.0000,0.074661,-1.9725E-4,0.027359,1.9725E-5,0.029999,0.0000
0.053101,0.0000,0.075378,-1.9725E-4,0.029190,1.9725E-5,0.031219,0.0000
0.052780,0.0000,0.076599,-1.9725E-4,0.029495,1.9725E-5,0.032349,0.0000
0.055130,0.0000,0.076294,-1.9725E-4,0.028671,1.9725E-5,0.031128,0.0000
0.054108,0.0000,0.075378,-1.9725E-4,0.028168,1.9725E-5,0.030197,0.0000
0.053497,0.0000,0.075577,-1.9725E-4,0.029297,1.9725E-5,0.031326,0.0000
0.053909,0.0000,0.076599,-1.9725E-4,0.030518,1.9725E-5,0.030823,0.0000
0.054306,0.0000,0.075989,-1.9725E-4,0.029602,1.9725E-5,0.030106,0.0000
0.052994,0.0000,0.075684,-1.9725E-4,0.028580,1.9725E-5,0.029800,0.0000
0.053406,0.0000,0.075378,-1.9725E-4,0.029800,1.9725E-5,0.030823,0.0000
0.054108,0.0000,0.077301,-1.9725E-4,0.030106,1.9725E-5,0.032135,0.0000
0.054932,0.0000,0.076492,-1.9725E-4,0.028778,0.0000,0.031021,0.0000
0.054932,0.0000,0.074768,-2.1698E-4,0.029190,0.0000,0.029602,0.0000
0.053604,0.0000,0.075684,-2.1698E-4,0.029907,0.0000,0.031830,0.0000
0.054016,0.0000,0.076080,-2.1698E-4,0.030197,0.0000,0.030823,1.9725E-5
0.055023,0.0000,0.076599,-2.1698E-4,0.028992,0.0000,0.030823,1.9725E-5
0.055023,0.0000,0.074860,-2.1698E-4,0.028778,0.0000,0.029800,1.9725E-5
0.053406,0.0000,0.075272,-2.1698E-4,0.030304,0.0000,0.031525,1.9725E-5
0.053497,0.0000,0.076492,-2.1698E-4,0.030518,0.0000,0.031433,1.9725E-5
0.055023,0.0000,0.075378,-2.1698E-4,0.029083,0.0000,0.031128,1.9725E-5
0.053497,0.0000,0.074768,-2.1698E-4,0.028992,0.0000,0.030304,1.9725E-5
0.053101,0.0000,0.076187,-2.1698E-4,0.028778,0.0000,0.031525,1.9725E-5
0.053604,0.0000,0.077515,-2.1698E-4,0.029907,0.0000,0.031738,1.9725E-5
0.055237,0.0000,0.077103,-2.1698E-4,0.029694,0.0000,0.030716,1.9725E-5
0.054016,0.0000,0.075470,-2.1698E-4,0.027664,0.0000,0.029907,1.9725E-5
0.053101,0.0000,0.075272,-2.1698E-4,0.029602,0.0000,0.031128,1.9725E-5
0.053497,0.0000,0.076492,-2.1698E-4,0.030197,0.0000,0.031830,1.9725E-5
0.057068,0.0000,0.076385,-2.1698E-4,0.028580,0.0000,0.030823,1.9725E-5
0.054214,0.0000,0.075378,-2.1698E-4,0.028168,0.0000,0.029694,1.9725E-5
0.053711,0.0000,0.075378,-2.1698E-4,0.029388,0.0000,0.031219,1.9725E-5
0.054626,0.0000,0.076294,-2.1698E-4,0.030518,0.0000,0.031433,1.9725E-5
0.054626,0.0000,0.075882,-2.1698E-4,0.030106,0.0000,0.029907,1.9725E-5
0.054825,0.0000,0.076080,-2.1698E-4,0.028992,0.0000,0.029907,1.9725E-5
0.053711,0.0000,0.076385,-2.1698E-4,0.029190,0.0000,0.031326,1.9725E-5
0.054108,0.0000,0.076492,-2.1698E-4,0.030304,0.0000,0.031830,1.9725E-5
0.055435,1.9725E-5,0.078522,-2.1698E-4,0.028473,0.0000,0.031326,1.9725E-5
0.054214,1.9725E-5,0.075684,-2.1698E-4,0.028168,0.0000,0.029495,1.9725E-5
0.053802,1.9725E-5,0.075470,-2.1698E-4,0.028992,0.0000,0.031631,1.9725E-5
0.054932,1.9725E-5,0.077103,-2.1698E-4,0.030609,0.0000,0.032135,1.9725E-5
0.055542,1.9725E-5,0.076080,-2.1698E-4,0.029190,0.0000,0.030609,1.9725E-5
0.053802,1.9725E-5,0.075272,-2.1698E-4,0.028275,0.0000,0.030106,1.9725E-5
0.052582,1.9725E-5,0.075577,-2.1698E-4,0.029800,0.0000,0.030106,1.9725E-5
0.054306,1.9725E-5,0.077606,-2.1698E-4,0.029602,0.0000,0.031433,1.9725E-5
0.055023,1.9725E-5,0.075989,-2.1698E-4,0.028778,0.0000,0.030823,1.9725E-5
0.055435,3.9450E-5,0.075378,-2.1698E-4,0.028778,0.0000,0.029495,1.9725E-5
0.053604,3.9450E-5,0.075684,-2.1698E-4,0.027969,0.0000,0.031219,1.9725E-5
0.053711,3.9450E-5,0.076492,-2.1698E-4,0.029907,0.0000,0.032135,1.9725E-5
0.054306,3.9450E-5,0.076385,-2.1698E-4,0.029495,0.0000,0.030304,1.9725E-5
0.054016,3.9450E-5,0.075577,-2.1698E-4,0.028580,0.0000,0.030304,1.9725E-5
0.053192,3.9450E-5,0.075577,-2.1698E-4,0.028992,0.0000,0.030914,1.9725E-5
0.054718,3.9450E-5,0.076691,-2.1698E-4,0.030197,0.0000,0.031525,1.9725E-5
0.054718,5.9175E-5,0.075882,-2.1698E-4,0.028885,0.0000,0.029999,1.9725E-5
0.054016,9.8625E-5,0.075272,-2.1698E-4,0.028168,0.0000,0.029800,1.9725E-5
0.053497,1.1835E-4,0.074661,-2.1698E-4,0.029190,0.0000,0.030716,1.9725E-5
0.054626,1.3808E-4,0.077301,-2.1698E-4,0.030304,0.0000,0.032043,1.9725E-5
0.055328,1.5780E-4,0.075577,-2.1698E-4,0.028671,0.0000,0.031128,1.9725E-5
0.053497,1.5780E-4,0.076080,-2.1698E-4,0.028381,0.0000,0.029907,1.9725E-5
0.053192,1.7753E-4,0.075165,-2.1698E-4,0.029694,0.0000,0.030823,3.9450E-5
0.054626,1.9725E-4,0.076904,-2.1698E-4,0.029999,0.0000,0.032043,3.9450E-5
0.055130,2.1698E-4,0.076797,-2.1698E-4,0.030106,0.0000,0.030197,3.9450E-5
0.054520,2.5643E-4,0.075272,-2.1698E-4,0.028168,0.0000,0.030609,3.9450E-5
0.052994,2.7615E-4,0.075165,-2.1698E-4,0.028671,0.0000,0.030716,3.9450E-5
0.054016,2.9588E-4,0.076080,-2.1698E-4,0.030304,0.0000,0.033051,3.9450E-5
0.054626,3.3533E-4,0.075882,-2.1698E-4,0.028992,0.0000,0.031219,3.9450E-5
0.054108,3.5505E-4,0.076797,-2.1698E-4,0.028778,0.0000,0.030411,3.9450E-5
0.053406,3.7478E-4,0.076797,-2.1698E-4,0.029602,0.0000,0.030609,3.9450E-5
0.053497,4.1422E-4,0.077911,-2.1698E-4,0.030106,0.0000,0.030823,3.9450E-5
0.055237,4.3395E-4,0.078629,-2.1698E-4,0.029388,0.0000,0.031433,3.9450E-5
0.053497,4.5368E-4,0.077209,-2.1698E-4,0.028473,0.0000,0.029388,3.9450E-5
0.054016,4.9313E-4,0.076492,-2.1698E-4,0.028671,0.0000,0.031219,3.9450E-5
0.054108,5.1285E-4,0.079346,-2.1698E-4,0.030518,0.0000,0.031525,3.9450E-5
0.054932,5.5230E-4,0.079651,-2.1698E-4,0.029999,0.0000,0.031128,3.9450E-5
0.053497,5.7202E-4,0.077408,-2.1698E-4,0.028580,0.0000,0.029907,3.9450E-5
0.053604,5.9175E-4,0.077408,-2.1698E-4,0.029999,0.0000,0.030914,3.9450E-5
0.054016,6.3120E-4,0.078735,-2.1698E-4,0.030106,0.0000,0.031738,3.9450E-5
0.054932,6.5092E-4,0.078018,-2.1698E-4,0.029388,0.0000,0.030609,3.9450E-5
0.053909,6.7065E-4,0.076904,-2.1698E-4,0.028168,0.0000,0.029907,3.9450E-5
0.053192,7.1010E-4,0.075775,-2.1698E-4,0.030197,0.0000,0.031631,3.9450E-5
0.054932,7.2982E-4,0.077408,-2.1698E-4,0.030106,0.0000,0.031433,3.9450E-5
0.055023,7.6927E-4,0.076599,-2.1698E-4,0.028275,0.0000,0.030106,3.9450E-5
0.055023,8.0872E-4,0.074356,-2.1698E-4,0.028275,0.0000,0.030106,3.9450E-5
0.053299,8.2845E-4,0.075378,-2.1698E-4,0.028778,0.0000,0.031128,3.9450E-5
0.054520,8.6790E-4,0.076492,-2.1698E-4,0.030197,0.0000,0.031219,3.9450E-5
0.055634,8.8762E-4,0.075577,-2.1698E-4,0.029388,0.0000,0.030914,3.9450E-5
0.055023,9.2707E-4,0.075684,-2.1698E-4,0.027969,0.0000,0.030197,3.9450E-5
0.053711,9.6652E-4,0.074356,-2.1698E-4,0.029388,0.0000,0.030304,3.9450E-5
0.055328,9.8625E-4,0.076904,-2.1698E-4,0.030106,0.0000,0.031525,3.9450E-5
0.055740,0.0010257,0.076797,-2.1698E-4,0.028885,1.9725E-5,0.030304,3.9450E-5
0.053909,0.0010651,0.075577,-2.1698E-4,0.028580,1.9725E-5,0.029999,3.9450E-5
0.053299,0.0011046,0.076691,-2.1698E-4,0.028885,1.9725E-5,0.030518,3.9450E-5
0.055634,0.0011440,0.078522,-2.1698E-4,0.031525,1.9725E-5,0.031326,3.9450E-5
0.055832,0.0011835,0.078735,-2.1698E-4,0.029495,1.9725E-5,0.030823,3.9450E-5
0.054718,0.0012032,0.077820,-2.1698E-4,0.029083,1.9725E-5,0.029190,3.9450E-5
0.054413,0.0012427,0.077301,-2.1698E-4,0.029694,1.9725E-5,0.030609,3.9450E-5
0.055435,0.0012821,0.078323,-2.1698E-4,0.030197,1.9725E-5,0.031525,3.9450E-5
0.056244,0.0013216,0.077209,-2.1698E-4,0.029495,1.9725E-5,0.030914,3.9450E-5
0.054413,0.0013610,0.075684,-2.1698E-4,0.027664,1.9725E-5,0.030411,3.9450E-5
0.054214,0.0014005,0.076385,-2.1698E-4,0.029388,1.9725E-5,0.031219,3.9450E-5
0.055023,0.0014399,0.077408,-2.1698E-4,0.029907,1.9725E-5,0.031433,3.9450E-5
0.055939,0.0014596,0.076904,-2.1698E-4,0.029800,1.9725E-5,0.030106,3.9450E-5
0.055237,0.0014991,0.076187,-2.1698E-4,0.028168,1.9725E-5,0.028778,3.9450E-5
0.054214,0.0015385,0.075470,-2.1698E-4,0.030197,1.9725E-5,0.030411,3.9450E-5
0.055740,0.0015583,0.077820,-2.1698E-4,0.029907,1.9725E-5,0.031525,3.9450E-5
0.056244,0.0015977,0.076904,-2.1698E-4,0.028275,1.9725E-5,0.030609,3.9450E-5
0.055542,0.0016372,0.075882,-2.1698E-4,0.028076,1.9725E-5,0.029999,3.9450E-5
0.055130,0.0016766,0.076904,-2.1698E-4,0.028381,1.9725E-5,0.031525,3.9450E-5
0.056854,0.0016963,0.077820,-2.1698E-4,0.029602,1.9725E-5,0.032654,3.9450E-5
0.056046,0.0017358,0.077515,-2.1698E-4,0.028778,1.9725E-5,0.030411,3.9450E-5
0.056351,0.0017752,0.076492,-2.1698E-4,0.027557,1.9725E-5,0.029694,3.9450E-5
0.055237,0.0018344,0.076691,-2.1698E-4,0.028473,1.9725E-5,0.031326,3.9450E-5
0.056763,0.0018739,0.077301,-2.1698E-4,0.030609,1.9725E-5,0.031631,3.9450E-5
0.058075,0.0019133,0.076691,-2.1698E-4,0.029999,1.9725E-5,0.030411,3.9450E-5
0.056763,0.0019725,0.076294,-2.1698E-4,0.027145,1.9725E-5,0.029800,3.9450E-5
0.055328,0.0020119,0.076187,-2.1698E-4,0.028671,1.9725E-5,0.030716,3.9450E-5
0.056763,0.0020711,0.077820,-2.1698E-4,0.030609,1.9725E-5,0.031937,3.9450E-5
0.057266,0.0021106,0.077606,-2.1698E-4,0.029999,1.9725E-5,0.030914,3.9450E-5
0.057266,0.0021500,0.076797,-2.1698E-4,0.028580,1.9725E-5,0.029083,3.9450E-5
0.055740,0.0021895,0.076187,-2.1698E-4,0.029190,1.9725E-5,0.030914,3.9450E-5
0.056763,0.0022486,0.076599,-2.1698E-4,0.029907,1.9725E-5,0.031021,3.9450E-5
0.058380,0.0022881,0.076691,-2.1698E-4,0.029694,1.9725E-5,0.030304,3.9450E-5
0.058289,0.0023473,0.075378,-2.1698E-4,0.028275,1.9725E-5,0.029999,3.9450E-5
0.056046,0.0023867,0.075775,-2.1698E-4,0.028992,1.9725E-5,0.030914,3.9450E-5
0.057770,0.0024459,0.076294,-2.1698E-4,0.030304,1.9725E-5,0.031433,3.9450E-5
0.058594,0.0025051,0.076385,-2.1698E-4,0.029190,1.9725E-5,0.031738,3.9450E-5
0.056854,0.0025445,0.074768,-2.1698E-4,0.028275,1.9725E-5,0.030106,3.9450E-5
0.057068,0.0025840,0.076492,-2.1698E-4,0.029190,1.9725E-5,0.030823,3.9450E-5
0.058990,0.0026234,0.075470,-2.1698E-4,0.029800,1.9725E-5,0.031021,3.9450E-5
0.059601,0.0026826,0.077713,-2.1698E-4,0.029297,1.9725E-5,0.030304,3.9450E-5
0.058990,0.0027220,0.076691,-2.1698E-4,0.027771,1.9725E-5,0.029999,3.9450E-5
0.056961,0.0027812,0.076294,-2.1698E-4,0.028885,1.9725E-5,0.031326,3.9450E-5
0.058594,0.0028404,0.078735,-2.1698E-4,0.030197,1.9725E-5,0.031937,3.9450E-5
0.058685,0.0028996,0.076904,-2.1698E-4,0.028992,1.9725E-5,0.030518,3.9450E-5
0.058182,0.0029587,0.077301,-2.1698E-4,0.029190,1.9725E-5,0.030106,3.9450E-5
0.057877,0.0030179,0.078018,-2.1698E-4,0.029602,1.9725E-5,0.030609,3.9450E-5
0.059509,0.0030968,0.078827,-2.1698E-4,0.029999,1.9725E-5,0.030914,3.9450E-5
0.060928,0.0031560,0.079132,-2.1698E-4,0.029694,1.9725E-5,0.030304,3.9450E-5
0.060211,0.0032152,0.078125,-2.1698E-4,0.028076,1.9725E-5,0.029800,3.9450E-5
0.059097,0.0032941,0.077408,-2.1698E-4,0.029297,1.9725E-5,0.030304,3.9450E-5
0.060318,0.0033730,0.078430,-2.1698E-4,0.029907,1.9725E-5,0.031433,3.9450E-5
0.061539,0.0034321,0.079239,-2.1698E-4,0.029190,1.9725E-5,0.030411,3.9450E-5
0.060516,0.0035110,0.078217,-2.1698E-4,0.028580,1.9725E-5,0.030716,3.9450E-5
0.060410,0.0035702,0.078735,-1.9725E-4,0.028671,1.9725E-5,0.030914,3.9450E-5
0.061935,0.0036491,0.079544,-1.9725E-4,0.029999,1.9725E-5,0.031830,3.9450E-5
0.063171,0.0037280,0.079742,-1.9725E-4,0.029999,1.9725E-5,0.029999,3.9450E-5
0.061935,0.0038069,0.078735,-1.9725E-4,0.028076,1.9725E-5,0.030106,3.9450E-5
0.061646,0.0039055,0.078430,-1.9725E-4,0.028992,1.9725E-5,0.031021,3.9450E-5
0.062454,0.0040042,0.079849,-1.9725E-4,0.029602,1.9725E-5,0.032043,3.9450E-5
0.063675,0.0040831,0.079239,-1.9725E-4,0.028992,1.9725E-5,0.030823,3.9450E-5
0.062149,0.0041620,0.078430,-1.9725E-4,0.028381,1.9725E-5,0.029495,3.9450E-5
0.061935,0.0042409,0.079437,-1.9725E-4,0.029694,1.9725E-5,0.030411,3.9450E-5
0.063568,0.0043395,0.080353,-1.9725E-4,0.029083,1.9725E-5,0.030914,3.9450E-5
0.065308,0.0043987,0.079544,-1.9725E-4,0.029495,1.9725E-5,0.029999,3.9450E-5
0.064697,0.0044776,0.078827,-1.9725E-4,0.027359,1.9725E-5,0.030609,3.9450E-5
0.063263,0.0045565,0.079041,-1.9725E-4,0.028473,1.9725E-5,0.031326,3.9450E-5
0.064789,0.0046354,0.079544,-1.9725E-4,0.029999,1.9725E-5,0.031937,3.9450E-5
0.065308,0.0047340,0.079742,-1.9725E-4,0.028671,1.9725E-5,0.031021,3.9450E-5
0.066116,0.0048129,0.078629,-1.9725E-4,0.027557,1.9725E-5,0.029907,5.9175E-5
0.064896,0.0048918,0.080048,-1.9725E-4,0.028076,1.9725E-5,0.030609,5.9175E-5
0.066315,0.0049707,0.079651,-1.9725E-4,0.029999,1.9725E-5,0.032043,5.9175E-5
0.067444,0.0050693,0.080872,-1.9725E-4,0.028580,1.9725E-5,0.030197,5.9175E-5
0.067139,0.0051482,0.078430,-1.9725E-4,0.027466,1.9725E-5,0.029602,5.9175E-5
0.066116,0.0052271,0.078827,-1.9725E-4,0.028473,1.9725E-5,0.030914,5.9175E-5
0.068146,0.0053257,0.080566,-1.9725E-4,0.029999,1.9725E-5,0.032043,7.8900E-5
0.068665,0.0054046,0.079742,-1.9725E-4,0.028778,1.9725E-5,0.030716,7.8900E-5
0.067841,0.0055033,0.078522,-1.9725E-4,0.027969,1.9725E-5,0.030106,7.8900E-5
0.067230,0.0055822,0.079132,-1.9725E-4,0.028778,1.9725E-5,0.031326,7.8900E-5
0.069366,0.0056611,0.080048,-1.9725E-4,0.029800,1.9725E-5,0.031021,7.8900E-5
0.070084,0.0057400,0.080658,-1.7753E-4,0.028671,1.9725E-5,0.030106,7.8900E-5
0.069778,0.0058189,0.079346,-1.5780E-4,0.027466,1.9725E-5,0.029907,9.8625E-5
0.068558,0.0059175,0.078323,-1.3808E-4,0.028992,1.9725E-5,0.030609,9.8625E-5
0.070084,0.0059964,0.080658,-1.3808E-4,0.029999,1.9725E-5,0.032043,9.8625E-5
0.069977,0.0060556,0.080048,-1.3808E-4,0.028885,1.9725E-5,0.030716,1.1835E-4
0.069672,0.0061345,0.078934,-1.3808E-4,0.028076,1.9725E-5,0.029495,1.1835E-4
0.069977,0.0062134,0.079544,-1.3808E-4,0.028381,1.9725E-5,0.030518,1.3808E-4
0.071106,0.0062923,0.080154,-1.1835E-4,0.029602,1.9725E-5,0.031433,1.3808E-4
0.071716,0.0063712,0.080154,-1.1835E-4,0.029297,1.9725E-5,0.030716,1.5780E-4
0.071609,0.0064501,0.078934,-9.8625E-5,0.027557,1.9725E-5,0.029694,1.5780E-4
0.070084,0.0065290,0.078735,-9.8625E-5,0.028473,1.9725E-5,0.030304,1.5780E-4
0.071503,0.0066079,0.080566,-7.8900E-5,0.029694,1.9725E-5,0.032242,1.5780E-4
0.074158,0.0066670,0.079956,-5.9175E-5,0.028275,1.9725E-5,0.031128,1.7753E-4
0.072723,0.0067262,0.079437,-3.9450E-5,0.027969,3.9450E-5,0.029297,1.7753E-4
0.071609,0.0068051,0.079544,-1.9725E-5,0.028580,3.9450E-5,0.031021,1.7753E-4
0.073746,0.0068840,0.080765,0.0000,0.029602,3.9450E-5,0.032242,1.9725E-4
0.074051,0.0069629,0.079544,1.9725E-5,0.028992,3.9450E-5,0.029907,1.9725E-4
0.074356,0.0070221,0.078018,3.9450E-5,0.028381,3.9450E-5,0.029800,1.9725E-4
0.073639,0.0071010,0.078217,5.9175E-5,0.028580,3.9450E-5,0.030197,2.1698E-4
0.074768,0.0071602,0.079544,9.8625E-5,0.029602,3.9450E-5,0.030823,2.1698E-4
0.076080,0.0072391,0.080048,1.1835E-4,0.028275,3.9450E-5,0.030106,2.3670E-4
0.075775,0.0072982,0.078430,1.3808E-4,0.027557,3.9450E-5,0.029800,2.3670E-4
0.075073,0.0073771,0.080048,1.7752E-4,0.028473,5.9175E-5,0.030411,2.5643E-4
0.076996,0.0074363,0.080048,1.9725E-4,0.029602,5.9175E-5,0.031937,2.5643E-4
0.076492,0.0074955,0.079956,2.3670E-4,0.029083,5.9175E-5,0.029800,2.7615E-4
0.076904,0.0075744,0.077515,2.5643E-4,0.027664,5.9175E-5,0.029800,2.7615E-4
0.076187,0.0076336,0.078125,2.7615E-4,0.029083,5.9175E-5,0.030106,2.7615E-4
0.077209,0.0076927,0.079041,3.1560E-4,0.029694,5.9175E-5,0.031326,2.9588E-4
0.078827,0.0077519,0.079742,3.3533E-4,0.028778,5.9175E-5,0.029907,2.9588E-4
0.078018,0.0078111,0.079132,3.7478E-4,0.028381,5.9175E-5,0.028473,3.1560E-4
0.077103,0.0078505,0.079132,3.9450E-4,0.028076,5.9175E-5,0.030518,3.1560E-4
0.077713,0.0079097,0.079544,4.3395E-4,0.030716,5.9175E-5,0.030716,3.1560E-4
0.079651,0.0079689,0.079742,4.7340E-4,0.028275,5.9175E-5,0.030197,3.1560E-4
0.078735,0.0080281,0.078827,5.1285E-4,0.027969,5.9175E-5,0.029083,3.3533E-4
0.078125,0.0080675,0.078827,5.5230E-4,0.028885,5.9175E-5,0.029602,3.3533E-4
0.079544,0.0081267,0.080048,5.9175E-4,0.029907,7.8900E-5,0.030823,3.3533E-4
0.079651,0.0081859,0.080658,6.3120E-4,0.027863,7.8900E-5,0.029297,3.3533E-4
0.079849,0.0082648,0.079956,6.7065E-4,0.028168,7.8900E-5,0.029190,3.5505E-4
0.079239,0.0083239,0.079742,7.2983E-4,0.028885,7.8900E-5,0.030304,3.5505E-4
0.080963,0.0084028,0.081879,7.6927E-4,0.029999,7.8900E-5,0.031433,3.5505E-4
0.080765,0.0084620,0.081879,8.2845E-4,0.029907,7.8900E-5,0.030304,3.5505E-4
0.080154,0.0085212,0.080353,8.6790E-4,0.028473,7.8900E-5,0.028778,3.7478E-4
0.079742,0.0085804,0.080872,9.2707E-4,0.029190,7.8900E-5,0.030914,3.7478E-4
0.081070,0.0086593,0.081375,9.6653E-4,0.029907,7.8900E-5,0.030716,3.7478E-4
0.081787,0.0087382,0.081680,0.0010257,0.030716,7.8900E-5,0.029907,3.9450E-4
0.082092,0.0087973,0.081482,0.0010849,0.028275,7.8900E-5,0.029388,3.9450E-4
0.080048,0.0088565,0.082489,0.0011441,0.028580,7.8900E-5,0.030197,3.9450E-4
0.083206,0.0089354,0.083206,0.0012032,0.030518,9.8625E-5,0.030411,4.1422E-4
0.083099,0.0089946,0.084427,0.0012624,0.029495,9.8625E-5,0.029602,4.1422E-4
0.082092,0.0090735,0.081573,0.0013019,0.028275,9.8625E-5,0.028992,4.1422E-4
0.080765,0.0091327,0.082596,0.0013610,0.028778,9.8625E-5,0.029800,4.3395E-4
